,word,gold,exact_match_ratio,prediction_count,prediction_ratio
0,10-fold cross validation,validation croisée 10 fois,0.0,10,"[{'word': 'validation croisée à 10 volets', 'ratio': 0.4}, {'word': 'validation croisée à 10 plis', 'ratio': 0.3}, {'word': 'validation croisée en 10 plis', 'ratio': 0.2}, {'word': 'Validation croisée à 10 volets', 'ratio': 0.1}]"
1,1D convolution,Convolution 1D,0.1,10,"[{'word': 'convolution 1D', 'ratio': 0.9}, {'word': 'Convolution 1D', 'ratio': 0.1}]"
2,2 norm,norme 2,0.9,10,"[{'word': 'norme 2', 'ratio': 0.9}, {'word': 'Norme 2', 'ratio': 0.1}]"
3,2D convolution,convolution 2D,0.9,10,"[{'word': 'convolution 2D', 'ratio': 0.9}, {'word': 'Convolution 2D', 'ratio': 0.1}]"
4,2D image,image 2D,0.9,10,"[{'word': 'image 2D', 'ratio': 0.9}, {'word': 'Image 2D', 'ratio': 0.1}]"
5,2D image synthesis,synthèse d'images 2D,0.8,10,"[{'word': ""synthèse d'images 2D"", 'ratio': 0.8}, {'word': ""synthèse d'image 2D"", 'ratio': 0.2}]"
6,2D-3D correspondence,correspondances 2d-3d,0.0,10,"[{'word': 'correspondance 2D-3D', 'ratio': 1.0}]"
7,3D bounding box,boîte englobante 3D,1.0,10,"[{'word': 'boîte englobante 3D', 'ratio': 1.0}]"
8,3D computer vision,Vision par ordinateur 3D,0.0,10,"[{'word': 'vision par ordinateur 3D', 'ratio': 1.0}]"
9,3D convolutional network,réseau convolutionnel 3D,0.1,10,"[{'word': 'réseau de convolution 3D', 'ratio': 0.7}, {'word': 'réseau convolutif 3D', 'ratio': 0.2}, {'word': 'réseau convolutionnel 3D', 'ratio': 0.1}]"
10,3D geometry,géométrie 3D,0.9,10,"[{'word': 'géométrie 3D', 'ratio': 0.9}, {'word': 'Géométrie 3D', 'ratio': 0.1}]"
11,3D human pose estimation,estimation de la pose humaine en 3D,0.5,10,"[{'word': 'estimation de la pose humaine en 3D', 'ratio': 0.5}, {'word': 'estimation de pose humaine en 3D', 'ratio': 0.3}, {'word': 'Estimation de pose humaine 3D', 'ratio': 0.1}, {'word': 'estimation de pose humaine 3D', 'ratio': 0.1}]"
12,3D localization,Localisation 3D,0.1,10,"[{'word': 'localisation 3D', 'ratio': 0.9}, {'word': 'Localisation 3D', 'ratio': 0.1}]"
13,3D mesh,maillage 3D,0.9,10,"[{'word': 'maillage 3D', 'ratio': 0.9}, {'word': 'Maillage 3D', 'ratio': 0.1}]"
14,3D model,modèle 3D,0.9,10,"[{'word': 'modèle 3D', 'ratio': 0.9}, {'word': 'Modèle 3D', 'ratio': 0.1}]"
15,3D object detection,détection d'objets 3D,0.9,10,"[{'word': ""détection d'objets 3D"", 'ratio': 0.9}, {'word': 'centroïde de cluster', 'ratio': 0.1}]"
16,3D point,point 3D,0.9,10,"[{'word': 'point 3D', 'ratio': 0.9}, {'word': 'caractéristique de cluster', 'ratio': 0.1}]"
